n_layer,n_head,n_embd,N,D,val_loss
2,2,64,3323584,100000,8.199104816355604
2,2,64,3323584,400000,8.207508740526565
2,2,64,3323584,1000000,7.546688518118351
2,2,64,3323584,2500000,6.497338297012004
2,2,128,6843776,100000,7.38433713507145
2,2,128,6843776,400000,7.297912642296325
2,2,128,6843776,1000000,6.833974696220236
2,2,128,6843776,2500000,6.011209907937557
4,4,128,7238016,100000,7.335559254504265
4,4,128,7238016,400000,7.23240556716919
4,4,128,7238016,1000000,6.817339927592176
4,4,128,7238016,2500000,5.973492634550054
4,4,256,16048896,100000,7.044131195798833
4,4,256,16048896,400000,6.72680438021396
4,4,256,16048896,1000000,6.495325275177652
4,4,256,16048896,2500000,5.476434185149822
6,6,192,12333120,100000,7.094565032390838
6,6,192,12333120,400000,6.855172449477175
6,6,192,12333120,1000000,6.582337862380007
6,6,192,12333120,2500000,5.700826821428664
